session	category	reason	acceptance	backend	files	bytes
d405_mp4_inline_20260810_184028	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			9	606546322
d405_mp4_inline_20260810_200218	LEGACY_DO_NOT_RUN	结果报告已保留，可在新机按需重录			9	567222286
d405_native_smoke_20260803_2114	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			18	450777069
d405_nvenc_20260808_123222	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			9	3367462957
d405_supported3_20260803_220756	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			13	340904708
d405_supported3_20260803_221623	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			13	248875684
diagnostic_ab_20260802_164311	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			1255	142283907
imu_only_formal_20260802_165628	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			2752	296921086
imu_static_20260807_234253	REGRESSION_EVIDENCE	被回归/标定/AB/故障报告引用			5	589117685
motion_accept_20260802	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			2554	132529758
pre_calib_720p_smoke	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			269	32266676
session_20260802_002210	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			869	28629976
session_20260802_004908	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			2646	96635006
session_20260804_182652	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			3	0
static_clock_20260802	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			970	57079469
static_clock_frozen_20260802	LEGACY_DO_NOT_RUN	已由当前标定或RSUSB正式数据替代			716	41971784
